,STOCK,ANN,SVM,KNN,LR,acc_ANN_train,acc_ANN_test,acc_SVM_train,acc_SVM_test,acc_KNN_train,acc_KNN_test,acc_LR_train,acc_LR_test
50,DVN,3.016399383544922,3.311632542634811,1.8661408942936804,1.518050372064618,0.5391658266072114,0.5731707297689547,0.7243133265513734,0.5365853658536586,0.6286876907426246,0.4959349593495935,0.5279755849440488,0.491869918699187
51,DVA,-0.24479305744171143,-1.0888258973437186,-0.6315174579684272,0.0006205223615112365,0.5656154678408758,0.5406504079578368,0.6408952187182095,0.4796747967479675,0.5910478128179044,0.4796747967479675,0.5096642929806714,0.4959349593495935
52,DUK,0.14423711597919464,-2.2497221879861864,-5.175017185292697,-1.2581128196506042,0.5676500582925422,0.5284552840682549,0.6571719226856562,0.508130081300813,0.6185147507629705,0.4959349593495935,0.5513733468972533,0.483739837398374
53,DTE,0.08601783215999603,-1.9574960043020904,-4.911737936590817,0.7908618599382806,0.5615462919399673,0.5081300819065513,0.6703967446592065,0.5,0.6052899287894201,0.483739837398374,0.5381485249237029,0.5121951219512195
54,DRI,-2.999440908432007,-2.1023476178472706,-3.2148782713143875,-0.19626133992413686,0.5513733508082397,0.42276422909604827,0.6734486266531028,0.5528455284552846,0.6195320447609359,0.43902439024390244,0.5401831129196337,0.491869918699187
55,DRE,-3.1815221309661865,-3.2337316113080776,-3.9955368242422877,1.1592071182268593,0.5615462948201511,0.5365853663382492,0.5849440488301119,0.524390243902439,0.6520854526958291,0.508130081300813,0.5371312309257376,0.5772357723577236
56,DPS,-0.8986037373542786,0.8552789942349209,-0.835586456696052,0.9566709870632805,0.5666327616872525,0.47967479723255807,0.6663275686673449,0.5365853658536586,0.6480162767039674,0.4796747967479675,0.5412004069175992,0.5934959349593496
57,DOV,-4.23378324508667,-2.7151060486699072,-2.0934699631921077,-1.6039550837470022,0.5808748771282082,0.4674796762505198,0.7171922685656155,0.508130081300813,0.6113936927772126,0.508130081300813,0.5249237029501526,0.4796747967479675
58,DLTR,0.5291754603385925,0.5239203874987781,-2.034483628821267,-1.6357649400041454,0.557477117767169,0.5284552845528455,0.7009155645981688,0.4959349593495935,0.6205493387589013,0.4796747967479675,0.5249237029501526,0.5040650406504065
59,DLR,0.6695741415023804,-1.2071309820795517,-1.9711264284944805,0.8129336938989068,0.5778229970291696,0.5406504077155415,0.728382502543235,0.5121951219512195,0.6388606307222787,0.4796747967479675,0.5625635808748728,0.5447154471544715
60,DIS,-0.001849778345786035,0.32386137071679266,1.2009505074909343,1.3596947714991934,0.5483214692084738,0.4756097573090375,0.7253306205493387,0.483739837398374,0.6205493387589013,0.508130081300813,0.54323499491353,0.5121951219512195
61,DISH,3.6174986362457275,-1.001993549918799,2.362932808832863,2.2109827195189315,0.5930824083932661,0.5162601640553979,0.698880976602238,0.4715447154471545,0.6347914547304171,0.5203252032520326,0.5493387589013224,0.46747967479674796
62,DISCK,1.2085273265838623,0.9371341625006205,-0.17415500873339124,0.7840389795189397,0.5595117039137187,0.5162601640553979,0.681586978636826,0.4959349593495935,0.6500508646998983,0.46747967479674796,0.5422177009155646,0.5
63,DISCA,0.5423350930213928,2.45839581427683,-0.09326003360016541,2.0340867681089176,0.5778229968927399,0.49186991627623394,0.6724313326551373,0.516260162601626,0.6358087487283826,0.46747967479674796,0.5391658189216684,0.556910569105691
64,DHR,-1.3420430421829224,0.4813261714650994,-0.27959967489033455,0.6228342978007307,0.5402892625867581,0.5308641972855775,0.6518595041322314,0.5596707818930041,0.6084710743801653,0.49794238683127573,0.5392561983471075,0.5473251028806584
65,DHI,-2.831599712371826,-2.1825510678267386,-2.2462123811204666,-2.6417162197109825,0.5656154680530998,0.43495934862431473,0.5920651068158698,0.44715447154471544,0.6063072227873856,0.43902439024390244,0.5076297049847406,0.43902439024390244
66,DG,0.3731844425201416,0.9615132746429422,-0.7433441963936532,-1.5898570408578412,0.5401831181949177,0.479674797959444,0.698880976602238,0.5528455284552846,0.6103763987792472,0.4796747967479675,0.5503560528992879,0.46747967479674796
67,DGX,0.5728062987327576,-6.267020152343076e-07,1.0567717365663525,0.5284401138314369,0.6022380536473294,0.532520322780299,0.671414038657172,0.516260162601626,0.6286876907426246,0.5121951219512195,0.5523906408952187,0.524390243902439
68,DFS,1.9486960172653198,4.031359371395266,1.139491958421914,1.058594330377589,0.5371312366861051,0.5162601638131026,0.6347914547304171,0.524390243902439,0.6205493387589013,0.4878048780487805,0.5279755849440488,0.4959349593495935
69,DE,-2.9246459007263184,0.15338346478977224,-9.055552355848132e-08,-1.4415024199069624,0.5788402917547605,0.42276422909604827,0.6826042726347915,0.5894308943089431,0.612410986775178,0.5813008130081301,0.5635808748728383,0.44715447154471544
70,DAL,0.9863938093185425,-0.20260982296441685,0.5563701046336973,-1.078621385063018,0.5584944123866478,0.5203252032520326,0.6632756866734486,0.508130081300813,0.6154628687690743,0.5203252032520326,0.5503560528992879,0.516260162601626
71,C,-2.4072306156158447,-0.5525665403675273,-2.1623469253955068,-2.6105613177383225,0.5320447653926159,0.49186991991066353,0.6490335707019329,0.516260162601626,0.6358087487283826,0.508130081300813,0.5239064089521872,0.483739837398374
72,CXO,1.1353451013565063,-0.19334411318771513,-1.3441907363526076,3.351742353588046,0.566632759549853,0.47560975585526566,0.9064089521871821,0.4715447154471545,0.5981688708036622,0.4634146341463415,0.49643947100712105,0.516260162601626
73,CVX,-0.47091981768608093,-0.3712430936177745,0.2746396723392735,-0.8109536194936717,0.5412004130114616,0.45528455429930026,0.7548321464903357,0.4715447154471545,0.641912512716175,0.491869918699187,0.5483214649033571,0.45121951219512196
74,CVS,-0.08445311337709427,1.6702950403508094,0.9408519379076622,0.8794180116169976,0.5462868853054357,0.49186992015295883,0.7009155645981688,0.516260162601626,0.6134282807731435,0.532520325203252,0.5483214649033571,0.4959349593495935
75,CTXS,1.4125577211380005,-0.5096830820472537,1.7292056556679556,0.82076153030264,0.5666327647948193,0.483739837398374,0.7151576805696847,0.4959349593495935,0.6103763987792472,0.483739837398374,0.5371312309257376,0.5609756097560976
76,CTSH,-4.3697943687438965,-4.727300098255415,-3.9922613737517696,-4.871329424610336,0.5696846440298026,0.47154471496256384,0.6795523906408952,0.524390243902439,0.6358087487283826,0.44715447154471544,0.5350966429298067,0.45528455284552843
77,CTL,0.7588533163070679,-0.04767141376082667,-0.26984507590080564,0.34334132222959945,0.5727365240985234,0.4593495944651162,0.5879959308240081,0.45528455284552843,0.624618514750763,0.44308943089430897,0.5279755849440488,0.5
78,CTAS,0.0,-0.7747743650693856,-2.664944025363156,-2.9285187611238244,0.5778229961499557,0.5406504077155415,0.6775178026449644,0.540650406504065,0.6103763987792472,0.45934959349593496,0.5686673448626653,0.4878048780487805
79,CSX,0.0021556641440838575,8.748463193613171e-08,8.748463193613171e-08,0.995411929310997,0.5727365261449697,0.5162601635708073,0.5859613428280773,0.5121951219512195,0.6215666327568667,0.5121951219512195,0.5198372329603256,0.524390243902439
80,CSRA,1.9125276803970337,1.2418109080984006,2.9095669114291947,2.1079954272838304,0.6415094401476518,0.48598130980384685,0.6179245283018868,0.4953271028037383,0.6650943396226415,0.48598130841121495,0.5566037735849056,0.4672897196261682
81,CSCO,-0.3736443519592285,0.8073675755577923,-0.08984008285838642,0.8973532357689205,0.5340793530550517,0.44715447154471544,0.5676500508646999,0.4959349593495935,0.612410986775178,0.45934959349593496,0.5228891149542217,0.483739837398374
82,CRM,-3.09787654876709,-1.0947122578256165,-2.6992432547445224,-4.679150540032652,0.5615462929101345,0.4593495947074115,0.7385554425228891,0.5487804878048781,0.6378433367243134,0.46747967479674796,0.5381485249237029,0.46747967479674796
83,CPB,1.7116663455963135,1.7190070558623454,2.69331121396904,5.8072764258281655,0.5717192329807418,0.565040647983551,0.6561546286876907,0.508130081300813,0.6378433367243134,0.4959349593495935,0.5493387589013224,0.5121951219512195
84,COTY,-0.25611749291419983,-1.5196119293008896,0.19612963761316166,1.3347008825233821,0.5536105088905902,0.471615720589088,0.5995623632385121,0.4890829694323144,0.6269146608315098,0.5327510917030568,0.5328227571115973,0.5764192139737991
85,COST,-1.731616497039795,0.04370162753499713,1.5695714059090728,-1.944777751667426,0.5666327637488577,0.47560975585526566,0.7548321464903357,0.5203252032520326,0.5910478128179044,0.4715447154471545,0.5340793489318413,0.43902439024390244
86,COP,-0.7537356019020081,-0.4046951147070218,-1.059390849896254,-0.37563072465021063,0.5320447646953083,0.47560975609756095,0.7182095625635809,0.45934959349593496,0.6103763987792472,0.4715447154471545,0.5198372329603256,0.516260162601626
87,COO,-1.2206175327301025,-0.5023857404049733,-4.0457565634051535,-0.6602901427136151,0.5462868827284292,0.520325204463509,0.8585961342828077,0.5691056910569106,0.6439471007121058,0.43089430894308944,0.5391658189216684,0.5284552845528455
88,COL,-3.183461904525757,-1.4387469455336472,-3.3963615900128628,-3.323284380890412,0.5676500580500005,0.45528455381470967,0.6927772126144456,0.524390243902439,0.6368260427263479,0.45121951219512196,0.5361139369277721,0.4634146341463415
89,COG,-1.0658595561981201,-0.286156373782474,1.5043338962950747,1.1090850884429213,0.5666327625361488,0.5203252032520326,0.6236012207527976,0.483739837398374,0.6154628687690743,0.532520325203252,0.5523906408952187,0.5040650406504065
90,COF,0.1503811478614807,0.9564902046083523,0.8957959774931763,0.4463148644725976,0.5371312388083457,0.487804879260257,0.6856561546286877,0.516260162601626,0.6012207527975585,0.540650406504065,0.5127161749745677,0.45528455284552843
91,CNP,-1.5622597932815552,-3.3902613776690024e-07,-3.3902613776690024e-07,-1.6589933504266445,0.5768057031221574,0.4796747967479675,0.5584944048830112,0.5284552845528455,0.6368260427263479,0.5284552845528455,0.5656154628687691,0.4715447154471545
92,CNC,-3.5280675888061523,-0.4995234097428763,-3.3155769726155886,0.4727793017054636,0.5462868836379609,0.47560975367460795,0.711088504577823,0.5365853658536586,0.612410986775178,0.44715447154471544,0.5330620549338759,0.556910569105691
93,CMS,0.0,-1.659927866078639,-2.7395147311469796,3.992363828085119e-07,0.5564598232234846,0.5487804887740593,0.5635808748728383,0.5284552845528455,0.6276703967446592,0.47560975609756095,0.5401831129196337,0.5447154471544715
94,CMI,0.34725338220596313,-1.5692994797685507,-1.9593591174958318,-2.060560312054952,0.5686673505623974,0.5081300827545848,0.8351983723296033,0.5040650406504065,0.612410986775178,0.45121951219512196,0.5249237029501526,0.43902439024390244
95,CMG,-0.2847955822944641,1.6819723489361835,3.6619433755648743,0.3691585111606999,0.5605289989879634,0.49999999757704694,1.0,0.4959349593495935,0.5930824008138352,0.556910569105691,0.5381485249237029,0.508130081300813
96,CME,-1.026327133178711,-0.8276962464616584,-1.8706283116677556,-2.0497512417065793,0.5534079403503744,0.5081300827545848,0.7355035605289929,0.508130081300813,0.6317395727365208,0.46747967479674796,0.5381485249237029,0.5121951219512195
97,CMCSA,0.0,-2.919014639620799e-08,-0.4624387594653559,1.5632182510117234,0.5564598231476903,0.5203252047058043,0.5666327568667345,0.5203252032520326,0.6225839267548321,0.5121951219512195,0.5361139369277721,0.508130081300813
98,CMA,0.0,-0.064320257849871,1.8273025082391972,-2.9945906236370345,0.5869786424045039,0.5406504069886556,0.6439471007121058,0.532520325203252,0.6215666327568667,0.5040650406504065,0.5279755849440488,0.4796747967479675
99,CL,-3.6781082153320312,1.7349198611625976,-2.6482682811348726,-1.6799201953333827,0.5625635875447721,0.5325203242340708,0.5961342828077314,0.5284552845528455,0.5920651068158698,0.46747967479674796,0.5289928789420142,0.4959349593495935
